以下実験結果です．[データ量],[再代入誤差],[汎化誤差(最大ノルム)],[汎化誤差(平均ノルム)]
割合 , 0.1
820,22.854259712937463,0.35352540251327713,0.39644486547141833
830,22.791183986620307,0.3391189692793383,0.34571693828953276
840,22.746981605841583,0.33575981003664207,0.3584741269936616
850,22.683677544744985,0.38574077713144506,0.4304477648764319
860,22.626655830166296,0.3682069040564953,0.3990671792225355
870,22.637106703425353,0.3602476841309556,0.38440830948055965
880,22.71937551679702,0.3204817249265203,0.37072016006831876
890,22.723340200564294,0.355025870235371,0.4048251198436056
900,22.735827260393474,0.37509473501996354,0.4149811912905066
910,22.840337933549343,0.35246606722005075,0.4066365930840552
920,22.84620978121537,0.3332370332433505,0.38687839683797415
930,22.921900657463752,0.3192518017566655,0.37823423826766883
940,22.96214812997972,0.3259878138340782,0.39326787354267745
950,22.975501716898513,0.32931992377434993,0.390495147234024
960,22.98683373276942,0.2976279300537248,0.40490297605028464
970,23.053523138300935,0.33705118926640987,0.39150703054511965
980,23.133352978662643,0.3266611423095859,0.4074550374061333
990,23.04725286570447,0.3325130311163349,0.42780492594131914
1000,23.014039186889963,0.32705521176796615,0.3948220003275615
以下実験結果です．[データ量],[再代入誤差],[汎化誤差(最大ノルム)],[汎化誤差(平均ノルム)]
10,381.5544873442704,1.0,3.1622776601683795
20,20.899730989697005,3.338789680674907,6.553403217461465
30,25.951547478626242,4.445862223675595,5.409617549226587
40,37.46772305902223,1.990980865114639,3.678264212314397
50,60.97408961243696,5.656126116319684,10.561651947363485
60,36.136327222812874,9.457974028791448,14.916850217513469
70,45.400641058468615,4.28621591389068,7.040409092833251
80,66.44441727557833,3.0436433126285705,5.064068436309447
90,43.83628727011058,2.693825967821373,5.077886377751544
100,38.54426084596091,2.3957568805850715,4.567816196416191
110,38.22407664968579,2.0314532901588143,3.380657333588983
120,42.437810816664204,2.4674581417808388,4.556001469615372
130,33.672149572620036,1.1588633940926771,1.8411028971139678
140,34.37362103497359,1.4156066651524166,2.1427410049505764
150,31.228453085257904,0.8700579994260701,1.1240080189594497
160,33.88480169793402,1.4923056074471492,2.203191713921315
170,32.728725967609456,1.7759272749746144,2.469021044596134
180,29.879381330540113,0.7653469742981616,1.5593058210912842
190,31.45310884790717,1.8364546509916346,2.348388116968389
200,31.598274433790756,1.2723811233268285,2.1114070532899682
210,31.07196454549607,0.9178796503335545,1.653196846335171
220,32.154001460840014,0.9995821793253132,2.013440793208711
230,38.206977920577394,0.9847910594195557,1.7120049081658228
240,31.434392381839597,1.1102882479591871,2.0391544277089118
250,34.92396300282704,1.3322922454893493,2.1453699350833273
260,32.81802069584552,1.230821918619547,2.0789880811414574
270,33.80939113268226,0.9856611613992303,1.5511881273250936
280,33.558836028177254,1.1947538649131209,1.9532439936495718
290,33.21202752967327,1.6307359583576677,2.46066518469394
300,33.61677287137645,2.622259698180423,3.0217172727020607
310,33.14575783860009,1.5746432893881455,2.050944556847665
320,32.163207529591816,0.9998187616835007,2.0746368314537422
330,32.78368660321712,1.363182636236655,2.210739767465514
340,33.654381678797215,0.9180783550117709,1.9780546507788748
350,32.98904446414925,1.1565449816648357,1.9694928871026918
360,33.15339331477771,2.2436497433214626,3.198784975604738
370,32.78806481051981,1.5828668337230904,2.0446315458961646
380,32.36065960548656,1.8291497156865737,2.288846867291193
390,33.79035100373601,1.9324014974000416,3.393021237042031
400,33.261944433073516,1.7411869861002793,2.532164715949801
410,32.49903462376333,1.3657340109106135,1.9263602140549312
420,32.646197851275986,1.5642512615900321,2.0044511334981827
430,32.07345948200482,1.9352773909330505,2.381005589852674
440,32.82147213879392,1.6019132317716702,2.402685768088525
450,32.57339967672058,1.2998787129377565,2.047369516748065
460,32.35140200073033,0.9768158177885083,1.5516918797849624
470,31.805296431057165,1.5352136961613718,1.8698013329166434
480,32.0898017533798,1.6591357516459277,2.145647475841117
490,31.897810911203237,1.0449396406098266,1.3972751079039964
500,32.248013705340014,1.7619485733139229,2.4025583407198017
510,31.959318581880524,1.6226595513676587,2.1405826127835827
520,32.1705589182977,1.6163650146034725,2.5042870128628216
530,31.935762218477763,1.2787757015514325,1.7681056379971711
540,31.776386054398763,1.6726086980482242,2.217639730525255
550,32.16153108602851,1.856439703083483,2.450682580280398
560,31.518021994791024,1.8637727311562293,2.355801373324667
570,31.710256508657054,2.08642198808751,2.61357869963304
580,31.59360309845577,1.7088193082558882,2.059678356975193
590,31.977526580798475,1.776263626682891,2.5936672642976384
600,32.05582061597552,1.6356334679924693,2.151693124635182
610,31.882425593323855,2.35660669475793,2.999568011607343
620,31.566344444714787,1.764093695268587,2.3355322412303763
630,31.357668608430604,1.8569598678602053,2.412858586816655
640,31.408330269232994,1.2877938896580206,2.1518466043260087
650,31.047785482613886,1.5844779324206726,2.2080957779878814
660,31.52844749135758,1.3362145700292614,1.9422046262023829
670,31.184585778473227,1.6131088534168416,2.626862760386541
680,30.861698912199518,1.5081319086227079,2.2621018040737173
690,31.20858750889182,1.6971999392568784,2.1977225316180027
700,31.346595844409126,1.9577709041808136,2.590429882230515
710,31.248895704344207,1.7129651701425659,2.1526721092090035
720,32.51031571958318,1.9359555931348231,2.3955959340733153
730,32.11184084875701,1.7327079241453112,2.6527013215901145
740,31.53284265292291,1.840981902277287,2.5600242422840953
750,31.32287799856713,2.081680802211217,2.427975435501215
760,31.378829999185136,1.9371547010979937,2.617987960393098
770,32.109350751729764,1.9399704820618162,2.6429669966140166
780,30.679094552871202,2.077632988125208,2.6725335913310198
790,30.897424012933698,2.004065854452261,2.5411060829076177
800,30.896634821782126,2.151954361505953,2.7598876802229078
810,30.750654966843097,2.2542702330202795,2.9745884004045466
820,30.510338422587385,2.1254388256319063,2.652413972239512
830,30.807235366552675,2.2856626870740375,2.8558818476266694
840,30.682062576578797,2.2626567727942213,2.781503624402974
850,30.18729937822448,2.10562918897454,2.913761529743406
860,30.257289361920076,2.332436492900661,3.17961654698477
870,30.21403663713573,2.179518339505873,3.0268179532307395
880,30.328174779199653,2.666741555726183,3.334231991146916
890,30.24334179737283,2.3443162895445946,2.968397887998917
900,30.205878795184546,2.4302858952286033,3.1761291768557856
910,30.32168288379163,2.6125801966469315,3.417277998511816
920,30.275998751733443,2.0441707329199117,3.0049463279651736
930,30.236354932657274,1.998710585214141,2.8185585554184938
940,30.117219859776068,2.0196342235285965,2.8807200292147366
950,30.23769029117537,2.490932351965427,3.1346058099079537
960,30.44851755030958,2.2798957477984585,3.055260362935898
970,30.67792694307489,2.0470992452721335,2.995456006593683
980,30.873456185847147,1.9662266416026475,2.7790187158410395
990,31.097678833706418,2.08938546157692,2.7782413039294314
1000,30.510650318098453,1.9675246466184289,2.648081884541375
