goal  ,1,133,137,37,139,77,139,71,59,171,188,0,0,0,0,0,0,0,0
start ,1,111,100,14,16,54,16,5,57,127,156,0,0,0,0,0,0,0,0
start ,1,194,159,117,167,77,167,180,192,169,87,0,0,0,0,0,0,0,0
status,1,182,123,117,167,77,167,180,192,169,87,0,0,0,0,0,0,0,0
goal  ,1,182,123,117,167,77,167,180,192,169,87,0,0,0,0,0,0,0,0
start ,1,90,41,5,78,5,118,94,196,110,129,0,0,0,0,0,0,0,0
start ,1,113,151,10,170,10,130,166,48,173,67,0,0,0,0,0,0,0,0
status,1,143,109,10,170,10,130,166,48,173,67,0,0,0,0,0,0,0,0
goal  ,1,143,109,10,170,10,130,166,48,173,67,0,0,0,0,0,0,0,0
start ,1,20,70,192,77,192,117,4,70,128,65,0,0,0,0,0,0,0,0
start ,1,5,22,178,31,138,31,92,104,88,158,0,0,0,0,0,0,0,0
status,1,47,90,178,31,138,31,92,104,88,158,0,0,0,0,0,0,0,0
goal  ,1,47,90,178,31,138,31,92,104,88,158,0,0,0,0,0,0,0,0
start ,1,88,73,123,20,163,20,198,51,97,135,0,0,0,0,0,0,0,0
start ,1,34,161,95,86,135,86,41,40,120,66,0,0,0,0,0,0,0,0
status,1,77,114,95,86,135,86,41,40,120,66,0,0,0,0,0,0,0,0
goal  ,1,77,114,95,86,135,86,41,40,120,66,0,0,0,0,0,0,0,0
start ,1,44,53,143,129,143,169,74,142,61,21,0,0,0,0,0,0,0,0
start ,1,112,44,150,171,110,171,63,47,153,43,0,0,0,0,0,0,0,0
status,1,133,44,150,171,110,171,63,47,153,43,0,0,0,0,0,0,0,0
goal  ,1,133,44,150,171,110,171,63,47,153,43,0,0,0,0,0,0,0,0
start ,1,20,11,39,98,39,138,76,50,14,129,0,0,0,0,0,0,0,0
status,1,84,13,116,12,156,12,193,179,118,0,0,0,0,0,0,0,0,0
goal  ,1,84,13,116,12,156,12,193,179,118,0,0,0,0,0,0,0,0,0
start ,1,159,161,120,179,80,179,114,128,59,151,0,0,0,0,0,0,0,0
start ,1,29,82,150,98,150,58,7,34,166,28,0,0,0,0,0,0,0,0
status,1,98,55,150,98,150,58,7,34,166,28,0,0,0,0,0,0,0,0
goal  ,1,98,55,150,98,150,58,7,34,166,28,0,0,0,0,0,0,0,0
start ,1,70,104,161,183,121,183,116,27,41,94,0,0,0,0,0,0,0,0
start ,1,124,19,15,157,15,117,9,178,30,29,0,0,0,0,0,0,0,0
status,1,77,24,15,157,15,117,9,178,30,29,0,0,0,0,0,0,0,0
goal  ,1,77,24,15,157,15,117,9,178,30,29,0,0,0,0,0,0,0,0
start ,1,120,100,172,140,172,180,174,104,31,164,0,0,0,0,0,0,0,0
start ,1,191,83,70,28,110,28,10,137,45,126,0,0,0,0,0,0,0,0
status,1,118,105,70,28,110,28,10,137,45,126,0,0,0,0,0,0,0,0
goal  ,1,118,105,70,28,110,28,10,137,45,126,0,0,0,0,0,0,0,0
start ,1,58,89,189,42,189,82,68,141,38,115,0,0,0,0,0,0,0,0
start ,1,46,51,40,54,80,54,5,52,50,49,0,0,0,0,0,0,0,0
status,1,48,50,40,54,80,54,5,52,50,49,0,0,0,0,0,0,0,0
goal  ,1,48,50,40,54,80,54,5,52,50,49,0,0,0,0,0,0,0,0
start ,1,86,104,31,172,71,172,102,105,18,103,0,0,0,0,0,0,0,0
start ,1,89,25,76,33,116,33,25,35,8,43,0,0,0,0,0,0,0,0
status,1,49,34,76,33,116,33,25,35,8,43,0,0,0,0,0,0,0,0
goal  ,1,49,34,76,33,116,33,25,35,8,43,0,0,0,0,0,0,0,0
start ,1,196,92,7,33,47,33,8,138,104,42,0,0,0,0,0,0,0,0
start ,1,145,128,33,65,33,25,111,3,181,55,0,0,0,0,0,0,0,0
status,1,163,92,33,65,33,25,111,3,181,55,0,0,0,0,0,0,0,0
goal  ,1,163,92,33,65,33,25,111,3,181,55,0,0,0,0,0,0,0,0
start ,1,38,106,105,65,105,105,86,104,26,175,0,0,0,0,0,0,0,0
start ,1,33,168,117,160,157,160,33,199,130,29,0,0,0,0,0,0,0,0
status,1,82,99,117,160,157,160,33,199,130,29,0,0,0,0,0,0,0,0
goal  ,1,82,99,117,160,157,160,33,199,130,29,0,0,0,0,0,0,0,0
start ,1,165,116,71,29,111,29,102,148,154,129,0,0,0,0,0,0,0,0
start ,1,48,57,20,168,20,128,94,159,196,59,0,0,0,0,0,0,0,0
status,1,122,58,20,168,20,128,94,159,196,59,0,0,0,0,0,0,0,0
goal  ,1,122,58,20,168,20,128,94,159,196,59,0,0,0,0,0,0,0,0
start ,1,34,150,4,186,4,146,16,93,21,151,0,0,0,0,0,0,0,0
start ,1,91,91,7,164,7,124,74,41,79,115,0,0,0,0,0,0,0,0
status,1,85,103,7,164,7,124,74,41,79,115,0,0,0,0,0,0,0,0
goal  ,1,85,103,7,164,7,124,74,41,79,115,0,0,0,0,0,0,0,0
start ,1,103,89,62,135,62,95,118,94,16,31,0,0,0,0,0,0,0,0
status,1,164,63,161,113,121,113,1,119,179,56,0,0,0,0,0,0,0,0
goal  ,1,164,63,161,113,121,113,1,119,179,56,0,0,0,0,0,0,0,0
start ,1,197,60,13,135,53,135,185,53,78,68,0,0,0,0,0,0,0,0
start ,1,6,152,155,19,155,59,185,160,179,114,0,0,0,0,0,0,0,0
status,1,93,133,155,19,155,59,185,160,179,114,0,0,0,0,0,0,0,0
goal  ,1,93,133,155,19,155,59,185,160,179,114,0,0,0,0,0,0,0,0
start ,1,145,72,126,182,126,142,46,32,34,110,0,0,0,0,0,0,0,0
start ,1,5,23,127,43,167,43,70,156,6,142,0,0,0,0,0,0,0,0
status,1,6,83,127,43,167,43,70,156,6,142,0,0,0,0,0,0,0,0
goal  ,1,6,83,127,43,167,43,70,156,6,142,0,0,0,0,0,0,0,0
start ,1,39,184,29,3,69,3,79,197,12,160,0,0,0,0,0,0,0,0
start ,1,0,77,4,37,44,37,163,190,139,59,0,0,0,0,0,0,0,0
status,1,70,68,4,37,44,37,163,190,139,59,0,0,0,0,0,0,0,0
